,CustomerName,Recency,Frequency,Monetary,R_rank,F_rank,M_rank,R_rank_norm,F_rank_norm,M_rank_norm,RFM_Score,Customer_segment
61,Arthur Wiediger,35,49,66020.87956,173.0,100.5,331.0,22.19371391917896,12.625628140703519,12.625628140703519,14.060841007474835,Low value Customer
62,Ashley Jarboe,28,56,76336.928,238.5,221.5,450.0,30.596536241180246,27.826633165829147,27.826633165829147,28.24211862713181,Low value Customer
63,Astrea Jones,48,60,56698.75148,92.0,308.0,220.0,11.8024374599102,38.69346733668342,38.69346733668342,34.65981285516743,Low value Customer
64,Barbara Fisher,22,62,37118.61459999999,312.5,351.5,46.0,40.089801154586276,44.15829145728643,44.15829145728643,43.5480179118814,Low value Customer
65,Barry Blumstein,14,62,46113.20930000001,442.5,351.5,115.0,56.767158434894164,44.15829145728643,44.15829145728643,46.04962150392759,Low value Customer
66,Barry Franz,8,69,124230.33741999998,544.5,521.0,732.0,69.85246953175113,65.45226130653266,65.45226130653266,66.11229254031542,Medium Value Customer
67,Barry Französisch,15,62,47957.213100000015,419.5,351.5,130.0,53.81654906991661,44.15829145728643,44.15829145728643,45.60703009918095,Low value Customer
68,Barry Gonzalez,28,67,103631.15600000003,238.5,467.0,646.0,30.596536241180246,58.66834170854271,58.66834170854271,54.45757088843834,Medium Value Customer
69,Barry Pond,5,57,40992.260519999996,636.5,243.5,71.0,81.65490699166132,30.590452261306535,30.590452261306535,38.25012047085975,Low value Customer
70,Barry Weirich,22,51,99704.33330000001,312.5,132.5,623.0,40.089801154586276,16.64572864321608,16.64572864321608,20.16233951992161,Low value Customer
71,Bart Folk,25,55,56217.17849999997,285.0,195.5,212.0,36.561898652982684,24.560301507537687,24.560301507537687,26.360541079354437,Low value Customer
72,Bart Pistole,2,70,37874.542199999996,699.0,539.0,51.0,89.67286722257857,67.71356783919597,67.71356783919597,71.00746274670337,Medium Value Customer
73,Bart Watters,54,96,141352.41069999995,67.5,786.5,759.0,8.659397049390636,98.80653266331659,98.80653266331659,85.28446232122769,High Value Customer
74,Becky Castell,29,87,73835.957,224.0,761.0,422.0,28.736369467607442,95.60301507537689,95.60301507537689,85.57301823421147,High Value Customer
75,Becky Martin,8,78,154247.65609999988,544.5,670.0,774.0,69.85246953175113,84.17085427135679,84.17085427135679,82.02309656041594,High Value Customer
76,Becky Pak,32,58,91382.47406,204.5,267.5,568.0,26.234765875561255,33.60552763819096,33.60552763819096,32.4999133737965,Low value Customer
77,Ben Ferrer,16,86,96221.94712,397.5,753.0,598.0,50.994227068633734,94.59798994974874,94.59798994974874,88.05742551758149,High Value Customer
78,Ben Peterman,1,74,83875.71844000006,741.0,600.0,514.0,95.06093649775497,75.37688442211056,75.37688442211056,78.32949223345722,High Value Customer
79,Ben Wallace,40,68,60201.909559999986,139.0,495.0,263.0,17.831943553559974,62.1859296482412,62.1859296482412,55.532831734039014,Medium Value Customer
80,Benjamin Farhat,26,62,63219.23389999999,271.0,351.5,297.0,34.76587556125722,44.15829145728643,44.15829145728643,42.749429072882045,Low value Customer
81,Benjamin Patterson,39,67,72717.04619999998,146.5,467.0,406.0,18.794098781270044,58.66834170854271,58.66834170854271,52.68720526945181,Medium Value Customer
82,Benjamin Venier,44,61,95248.8428,106.5,329.0,594.0,13.662604233483004,41.33165829145729,41.33165829145729,37.18130018276115,Low value Customer
83,Berenike Kampe,26,64,70688.58312,271.0,399.5,381.0,34.76587556125722,50.188442211055275,50.188442211055275,47.87505721358556,Low value Customer
84,Beth Fritzler,6,58,42763.06591999998,600.5,267.5,87.0,77.03656189865298,33.60552763819096,33.60552763819096,40.12018277726026,Low value Customer
85,Beth Paige,12,55,64010.412140000015,486.5,195.5,307.0,62.411802437459905,24.560301507537687,24.560301507537687,30.238026647026018,Low value Customer
86,Beth Thompson,28,70,46485.89299999998,238.5,539.0,119.0,30.596536241180246,67.71356783919597,67.71356783919597,62.146013099493615,Medium Value Customer
87,Bill Donatelli,5,69,63771.286,636.5,521.0,304.0,81.65490699166132,65.45226130653266,65.45226130653266,67.88265815930195,Medium Value Customer
88,Bill Eplett,35,102,171617.287,173.0,793.0,786.0,22.19371391917896,99.62311557788944,99.62311557788944,88.00870532908286,High Value Customer
89,Bill Overfelt,21,47,36281.3707,332.5,74.5,38.0,42.6555484284798,9.359296482412061,9.359296482412061,14.353734274322221,Low value Customer
90,Bill Shonely,0,68,137512.377,779.5,495.0,758.0,100.0,62.1859296482412,62.1859296482412,67.85804020100502,Medium Value Customer
91,Bill Stewart,28,66,108689.52770000004,238.5,442.0,674.0,30.596536241180246,55.527638190954775,55.527638190954775,51.78797289848859,Medium Value Customer
92,Bill Tyler,28,50,58773.60600000001,238.5,116.5,244.0,30.596536241180246,14.6356783919598,14.6356783919598,17.029807069342866,Low value Customer
93,Bobby Elias,21,60,100382.21912,332.5,308.0,630.0,42.6555484284798,38.69346733668342,38.69346733668342,39.28777950045287,Low value Customer
94,Bobby Odegard,1,57,81103.40204000004,741.0,243.5,491.0,95.06093649775497,30.590452261306535,30.590452261306535,40.26102489677379,Low value Customer
95,Bobby Trafton,51,53,53416.793500000014,76.5,157.5,186.0,9.81398332264272,19.786432160804022,19.786432160804022,18.290564835079827,Low value Customer
96,Brad Eason,3,69,115392.82969999997,676.5,521.0,698.0,86.78640153944836,65.45226130653266,65.45226130653266,68.65238234147002,Medium Value Customer
97,Brad Norvell,11,70,122552.89892000004,505.0,539.0,723.0,64.78511866581141,67.71356783919597,67.71356783919597,67.27430046318828,Medium Value Customer
98,Brad Thomas,30,65,50368.215420000015,213.5,421.5,153.0,27.38935214881334,52.95226130653267,52.95226130653267,49.11782493287477,Low value Customer
99,Bradley Drucker,19,44,69778.53949999998,367.5,49.0,374.0,47.14560615779346,6.155778894472362,6.155778894472362,12.304252983970525,Low value Customer
100,Bradley Nguyen,9,65,51188.32099999999,519.5,421.5,162.0,66.64528543938421,52.95226130653267,52.95226130653267,55.0062149264604,Medium Value Customer
101,Bradley Talbott,33,55,81264.891,195.0,195.5,492.0,25.01603592046183,24.560301507537687,24.560301507537687,24.62866166947631,Low value Customer
102,Brenda Bowman,28,63,94705.83963999999,238.5,375.5,590.0,30.596536241180246,47.17336683417086,47.17336683417086,44.686842245222266,Low value Customer
103,Brendan Dodson,7,36,53365.77521999999,572.5,11.5,185.0,73.44451571520206,1.4447236180904524,1.4447236180904524,12.244692432657192,Low value Customer
104,Brendan Murry,34,55,55676.06884,183.5,195.5,208.0,23.54073123797306,24.560301507537687,24.560301507537687,24.407365967102994,Low value Customer
105,Brendan Sweed,35,58,65250.20257999998,173.0,267.5,321.0,22.19371391917896,33.60552763819096,33.60552763819096,31.893755580339157,Low value Customer
106,Brian Dahlen,97,48,36459.08662,19.0,87.0,40.0,2.4374599101988452,10.92964824120603,10.92964824120603,9.655819991554953,Low value Customer
107,Brian DeCherney,49,67,44115.57353999999,84.0,467.0,98.0,10.77613855035279,58.66834170854271,58.66834170854271,51.48451123481422,Medium Value Customer
108,Brian Derr,9,68,79710.7511,519.5,495.0,483.0,66.64528543938421,62.1859296482412,62.1859296482412,62.85483301691265,Medium Value Customer
109,Brian Moss,33,78,71294.30983999999,195.0,670.0,386.0,25.01603592046183,84.17085427135679,84.17085427135679,75.29763151872254,High Value Customer
110,Brian Stugart,29,70,145742.64500000002,224.0,539.0,766.0,28.736369467607442,67.71356783919597,67.71356783919597,61.86698808345769,Medium Value Customer
111,Brian Thompson,18,58,64923.737299999986,381.0,267.5,318.0,48.877485567671584,33.60552763819096,33.60552763819096,35.89632132761305,Low value Customer
112,Brooke Gillingham,9,49,52613.79017999999,519.5,100.5,176.0,66.64528543938421,12.625628140703519,12.625628140703519,20.728576735505623,Low value Customer
113,Brosina Hoffman,23,97,146407.94492,298.0,788.0,767.0,38.22963438101347,98.99497487437185,98.99497487437185,89.88017380036808,High Value Customer
114,Bruce Degenhardt,4,76,61666.758119999984,665.0,631.0,277.0,85.3110968569596,79.2713567839196,79.2713567839196,80.17731779487559,High Value Customer
115,Bruce Geld,6,56,91713.50850000001,600.5,221.5,575.0,77.03656189865298,27.826633165829147,27.826633165829147,35.20812247575272,Low value Customer
116,Bruce Stewart,1,83,73689.3547,741.0,721.5,420.0,95.06093649775497,90.64070351758794,90.64070351758794,91.30373846461299,High Value Customer
117,Bryan Davis,35,64,59498.84705999999,173.0,399.5,254.0,22.19371391917896,50.188442211055275,50.188442211055275,45.98923296727382,Low value Customer
118,Bryan Mills,2,84,86377.5371,699.0,734.5,532.0,89.67286722257857,92.27386934673368,92.27386934673368,91.88371902811042,High Value Customer
119,Bryan Spruell,9,69,91464.22919999999,519.5,521.0,570.0,66.64528543938421,65.45226130653266,65.45226130653266,65.63121492646039,Medium Value Customer
120,Candace McMahon,40,46,90957.61480000001,139.0,65.0,566.0,17.831943553559974,8.165829145728644,8.165829145728644,9.615746306903343,Low value Customer
121,Cari MacIntyre,6,77,118493.28220000002,600.5,651.0,709.0,77.03656189865298,81.78391959798995,81.78391959798995,81.0718159430894,High Value Customer
122,Cari Sayre,15,68,108255.16620000004,419.5,495.0,673.0,53.81654906991661,62.1859296482412,62.1859296482412,60.93052256149251,Medium Value Customer
123,Cari Schnelling,50,60,49955.162019999996,80.0,308.0,149.0,10.262989095574087,38.69346733668342,38.69346733668342,34.428895600517016,Low value Customer
124,Carl Jackson,13,56,59772.14036000002,463.0,221.5,258.0,59.397049390635026,27.826633165829147,27.826633165829147,32.56219559955002,Low value Customer
125,Carl Ludwig,13,60,119196.21072000008,463.0,308.0,710.0,59.397049390635026,38.69346733668342,38.69346733668342,41.79900464477616,Low value Customer
126,Carl Weiss,8,55,67621.238,544.5,195.5,350.0,69.85246953175113,24.560301507537687,24.560301507537687,31.354126711169705,Low value Customer
127,Carlos Daly,2,70,104283.45640000002,699.0,539.0,648.0,89.67286722257857,67.71356783919597,67.71356783919597,71.00746274670337,Medium Value Customer
128,Carlos Meador,36,42,42424.9124,162.5,30.5,85.0,20.846696600384863,3.8316582914572863,3.8316582914572863,6.383914037796423,Low value Customer
129,Carlos Soltero,25,68,60083.28517999999,285.0,495.0,262.0,36.561898652982684,62.1859296482412,62.1859296482412,58.34232499895242,Medium Value Customer
130,Carol Adams,18,57,163414.02240000005,381.0,243.5,782.0,48.877485567671584,30.590452261306535,30.590452261306535,33.33350725726129,Low value Customer
131,Carol Darley,1,68,50941.73522000001,741.0,495.0,159.0,95.06093649775497,62.1859296482412,62.1859296482412,67.11718067566827,Medium Value Customer
132,Carol Triggs,28,52,76023.47408,238.5,144.0,443.0,30.596536241180246,18.090452261306535,18.090452261306535,19.96636485828759,Low value Customer
133,Caroline Jumper,33,58,92146.6048,195.0,267.5,578.0,25.01603592046183,33.60552763819096,33.60552763819096,32.31710388053159,Low value Customer
134,Cassandra Brandow,9,59,71701.9426,519.5,289.0,390.0,66.64528543938421,36.30653266331658,36.30653266331658,40.857345579726726,Low value Customer
135,Catherine Glotzbach,21,35,15519.112000000001,332.5,7.0,2.0,42.6555484284798,0.8793969849246231,0.8793969849246231,7.145819701457899,Low value Customer
136,Cathy Armstrong,13,56,46924.424000000006,463.0,221.5,124.0,59.397049390635026,27.826633165829147,27.826633165829147,32.56219559955002,Low value Customer
137,Cathy Hwang,89,70,65426.651119999995,25.0,539.0,325.0,3.207184092366902,67.71356783919597,67.71356783919597,58.03761027717161,Medium Value Customer
138,Cathy Prescott,69,65,98562.60230000001,43.0,421.5,616.0,5.516356638871072,52.95226130653267,52.95226130653267,45.83687560638343,Low value Customer
139,Chad Cunningham,51,58,53901.74952,76.5,267.5,192.0,9.81398332264272,33.60552763819096,33.60552763819096,30.03679599085872,Low value Customer
140,Chad McGuire,8,43,77281.56389999998,544.5,39.5,464.0,69.85246953175113,4.9623115577889445,4.9623115577889445,14.695835253883272,Low value Customer
141,Chad Sievert,11,48,54015.925800000026,505.0,87.0,193.0,64.78511866581141,10.92964824120603,10.92964824120603,19.007968804896837,Low value Customer
142,Charles Crestani,82,59,59101.7606,30.0,289.0,251.0,3.8486209108402822,36.30653266331658,36.30653266331658,31.437845900445136,Low value Customer
143,Charles McCrossin,26,55,120503.24293999995,271.0,195.5,715.0,34.76587556125722,24.560301507537687,24.560301507537687,26.091137615595617,Low value Customer
144,Charles Sheldon,57,62,109320.49129999997,57.0,351.5,676.0,7.312379730596537,44.15829145728643,44.15829145728643,38.63140469828294,Low value Customer
145,Charlotte Melton,0,55,72128.08562000001,779.5,195.5,397.0,100.0,24.560301507537687,24.560301507537687,35.87625628140704,Low value Customer
146,Chloris Kastensmidt,4,96,52557.84251999998,665.0,786.5,174.0,85.3110968569596,98.80653266331659,98.80653266331659,96.78221729236304,High Value Customer
147,Chris Cortes,20,87,52225.14259999998,351.5,761.0,171.0,45.093008338678644,95.60301507537689,95.60301507537689,88.02651406487215,High Value Customer
148,Chris McAfee,42,44,64280.021600000015,121.0,49.0,308.0,15.522771007055805,6.155778894472362,6.155778894472362,7.560827711359878,Low value Customer
149,Chris Selesnick,2,81,67648.56709999999,699.0,697.5,352.0,89.67286722257857,87.62562814070351,87.62562814070351,87.93271400298477,High Value Customer
150,Christina Anderson,34,69,106950.5993,183.5,521.0,664.0,23.54073123797306,65.45226130653266,65.45226130653266,59.165531796248715,Medium Value Customer
151,Christina DeMoss,12,82,75127.44298000004,486.5,707.5,435.0,62.411802437459905,88.88190954773869,88.88190954773869,84.91139348119687,High Value Customer
152,Christina VanderZanden,39,60,41533.78782,146.5,308.0,76.0,18.794098781270044,38.69346733668342,38.69346733668342,35.70856205337141,Low value Customer
153,Christine Abelman,13,43,26942.606819999994,463.0,39.5,16.0,59.397049390635026,4.9623115577889445,4.9623115577889445,13.127522232715856,Low value Customer
154,Christine Kargatis,0,67,54850.49288,779.5,467.0,202.0,100.0,58.66834170854271,58.66834170854271,64.8680904522613,Medium Value Customer
155,Christine Phan,8,82,120609.52376,544.5,707.5,716.0,69.85246953175113,88.88190954773869,88.88190954773869,86.02749354534055,High Value Customer
156,Christine Sundaresam,6,66,37885.869999999995,600.5,442.0,52.0,77.03656189865298,55.527638190954775,55.527638190954775,58.753976747109505,Medium Value Customer
157,Christopher Conant,6,73,205419.11220000003,600.5,583.5,794.0,77.03656189865298,73.30402010050251,73.30402010050251,73.86390137022508,Medium Value Customer
158,Christopher Martinez,37,56,111193.59164000004,153.5,221.5,683.0,19.692110327132777,27.826633165829147,27.826633165829147,26.60645474002469,Low value Customer
159,Christopher Schild,1,53,50283.46272,741.0,157.5,152.0,95.06093649775497,19.786432160804022,19.786432160804022,31.077607811346667,Low value Customer
160,Christy Brittain,26,49,61031.84991999999,271.0,100.5,266.0,34.76587556125722,12.625628140703519,12.625628140703519,15.946665253786573,Low value Customer
161,Chuck Clark,0,60,81598.91336,779.5,308.0,495.0,100.0,38.69346733668342,38.69346733668342,47.8894472361809,Low value Customer
162,Chuck Magee,15,58,72981.61283999999,419.5,267.5,413.0,53.81654906991661,33.60552763819096,33.60552763819096,36.637180852949804,Low value Customer
163,Chuck Sachs,6,70,114322.58836000002,600.5,539.0,696.0,77.03656189865298,67.71356783919597,67.71356783919597,69.11201694811453,Medium Value Customer
164,Cindy Chapman,16,74,95205.29381999998,397.5,600.0,593.0,50.994227068633734,75.37688442211056,75.37688442211056,71.71948581908904,Medium Value Customer
165,Cindy Schnelling,2,62,50042.96749999999,699.0,351.5,150.0,89.67286722257857,44.15829145728643,44.15829145728643,50.98547782208025,Medium Value Customer
166,Cindy Stewart,27,42,64712.58120000001,255.5,30.5,315.0,32.777421423989736,3.8316582914572863,3.8316582914572863,8.173522761337153,Low value Customer
167,Claire Gute,28,52,67041.66885999998,238.5,144.0,343.0,30.596536241180246,18.090452261306535,18.090452261306535,19.96636485828759,Low value Customer
168,Claudia Bergmann,7,72,84909.70868,572.5,569.0,524.0,73.44451571520206,71.4824120603015,71.4824120603015,71.77672760853658,Medium Value Customer
169,Clay Cheatham,27,60,38415.52533999999,255.5,308.0,54.0,32.777421423989736,38.69346733668342,38.69346733668342,37.806060449779366,Low value Customer
170,Clay Ludtke,5,79,86596.28964000002,636.5,684.5,534.0,81.65490699166132,85.99246231155779,85.99246231155779,85.34182901357332,High Value Customer
171,Clay Rozendal,22,41,84780.12550000001,312.5,25.0,522.0,40.089801154586276,3.1407035175879394,3.1407035175879394,8.68306816313769,Low value Customer
172,Clytie Kelty,43,79,75808.79582000001,113.5,684.5,442.0,14.560615779345735,85.99246231155779,85.99246231155779,75.27768533172598,High Value Customer
173,Corey Catlett,16,61,96832.10600000001,397.5,329.0,602.0,50.994227068633734,41.33165829145729,41.33165829145729,42.781043608033755,Low value Customer
174,Corey Roper,43,77,116992.40788000001,113.5,651.0,704.0,14.560615779345735,81.78391959798995,81.78391959798995,71.70042402519331,Medium Value Customer
175,Corey-Lock,4,68,51995.68772,665.0,495.0,170.0,85.3110968569596,62.1859296482412,62.1859296482412,65.65470472954895,Medium Value Customer
176,Corinna Mitchell,27,54,101699.59344,255.5,173.5,633.0,32.777421423989736,21.7964824120603,21.7964824120603,23.443623263849716,Low value Customer
177,Craig Carreira,16,67,48781.94989999999,397.5,467.0,137.0,50.994227068633734,58.66834170854271,58.66834170854271,57.51722451255636,Medium Value Customer
178,Craig Carroll,54,55,73006.69860000003,67.5,195.5,414.0,8.659397049390636,24.560301507537687,24.560301507537687,22.17516583881563,Low value Customer
179,Craig Leslie,8,69,101087.65860000001,544.5,521.0,632.0,69.85246953175113,65.45226130653266,65.45226130653266,66.11229254031542,Medium Value Customer
180,Craig Molinari,41,54,58608.1989,129.5,173.5,240.0,16.613213598460554,21.7964824120603,21.7964824120603,21.018992090020337,Low value Customer
181,Craig Reiter,5,77,101932.70535999996,636.5,651.0,636.0,81.65490699166132,81.78391959798995,81.78391959798995,81.76456770704065,High Value Customer
182,Craig Yedwab,60,60,67321.6187,50.0,308.0,347.0,6.414368184733804,38.69346733668342,38.69346733668342,33.85160246389098,Low value Customer
183,Cyma Kinney,37,69,38441.578599999986,153.5,521.0,55.0,19.692110327132777,65.45226130653266,65.45226130653266,58.588238659622675,Medium Value Customer
184,Cynthia Arntzen,93,61,122384.36500000005,22.0,329.0,721.0,2.8223220012828736,41.33165829145729,41.33165829145729,35.55525784793113,Low value Customer
185,Cynthia Delaney,76,67,65641.83649999999,33.5,467.0,327.0,4.297626683771648,58.66834170854271,58.66834170854271,50.512734454827054,Medium Value Customer
186,Cynthia Voltz,4,54,67540.94500000002,665.0,173.5,349.0,85.3110968569596,21.7964824120603,21.7964824120603,31.323674578795192,Low value Customer
187,Cyra Reiten,55,54,80800.57968000002,63.0,173.5,490.0,8.082103912764593,21.7964824120603,21.7964824120603,19.739325637165944,Low value Customer
